COUNTY,COURT CODE,COURT NAME,ADDRESS,PHONE,FAX,JUDGE,CT ADMIN,COURT DAYS,OFFICE HOURS,
UNION,2004,ELIZABETH MUNICIPAL COURT,1 POLICE PLAZA ELIZABETH NJ 07201,908-558-6800,9083557580,ROMAN A MONTES,JOANN MARQUES,MONDAY TO FRIDAY,8:00 AM - 9:30 PM,
UNION,2009,LINDEN CITY MUNICIPAL COURT,MUNICIPAL BULDING LINDEN NJ 07036,908-474-8423,9084748619,CASSANDRA CORBETT,LINDSEY PARKER,"MONDAY, TUESDAY, WEDNESDAY",9:00AM - 3:00PM,
UNION,2020,WESTFIELD TOWN MUNICIPAL COURT,425 E. BROAD ST WESTFIELD NJ 07090,908-789-4060,9086541520,PARAG P PATEL,VANESSA TOVAR,TUESDAYS AND THURSDAYS,9:00 AM - 3:30 PM,
WARREN,2122,WASHINGTON TWP MUNICIPAL CT,100 PORT MURRAY ROAD PORT MURRAY NJ 07865,908-689-7066,9086899004,"CHARLES E CARRO,JMC",IRENE BROWNELL,2ND AND 4TH TUESDAY,MON-FRI 8:00AM - 4:00PM,
UNION,2003,CRANFORD MUNICIPAL COURT,8 SPRINGFIELD AVE CRANFORD NJ 07016,908-709-7242,9087097244,MARK J CASSIDY,LORRAINE POWELL,WEDNESDAYS,08:30 AM -03:30 PM,
UNION,2012,PLAINFIELD MUNICIPAL COURT,325 WATCHUNG AVE PLAINFIELD NJ 07061,908-753-3064,9087533030,CARL L MARSHALL,RAYMONA IWER,MONDAY TO THURSDAY,9:00 AM - 4:00 PM,
UNION,2006,GARWOOD BORO MUNICIPAL COURT,403 SOUTH AVE GARWOOD NJ 07027,908-789-0780,9087896414,GARY BUNDY,YASMILCA REYES,MONDAY (TWICE PER MONTH),9:00AM - 4:00PM,
BERGEN,221,GARFIELD CITY MUNICIPAL COURT,111 OUTWATER LANE GARFIELD NJ 07026,973-340-2000,9732530546,GIUSEPPE C RANDAZZO,KRYSTYNA MOSKAL,EVERY TUESDAY AND WEDNESDAY,MON - FRI 9:00AM - 4:00PM,
PASSAIC,1605,LITTLE FALLS MUNICIPAL COURT,225 MAIN STREET LITTLE FALLS NJ 07424,973-256-2400,9732568130,ERNEST FRONZUTO,ANDREA TROMBINO,2ND AND 4TH THURSDAYS,CALL COURT,
ESSEX,706,EAST ORANGE MUNICIPAL,221 FREEWAY DR EAST EAST ORANGE NJ 07018,973-266-5300,9732665249,SHERWIN CAMPBELL,CYNTHIA EDWARDS,MONDAY-THURSDAY,8:30AM - 4:00PM,
ESSEX,716,NUTLEY TOWN MUNICIPAL COURT,228 CHESTNUT ST NUTLEY NJ 07110,973-284-4945,9732844914,ALAN J. GENITEMPO,ADRIANA MARZULLO,WEDNESDAY,8:00AM - 4:00PM,
PASSAIC,1608,PATERSON MUNICIPAL COURT,111 BROADWAY PATERSON NJ 07505,973-321-1515,9733211516,"ABDELMAGEID ""JOHN"" ABDELHADI",BEVERLY VALENTINE,MONDAY TO FRIDAY,8:30 AM TO 4:00 PM,
PASSAIC,1616,WOODLAND PARK MUNICIPAL COURT,#5 BROPHY LANE WOODLAND PARK NJ 07424,973-345-8100,9733458194,TONI BELFORD DAMIANO,MARYANN CORAL,3 TUESDAYS PER MONTH,M-F 8:30-3:30-COURT TUES 4:00,
PASSAIC,1607,PASSAIC CITY MUNICIPAL COURT,330 PASSAIC ST PASSAIC NJ 07055,973-365-3975,9733655649,JEREMIAS E BATISTA,SANDRA HENDERSON,"MONDAYS, TUESDAYS AND THURSDAYS",9:00 AM - 3:30 PM,
ESSEX,709,IRVINGTON MUNICIPAL COURT,ONE CIVIC SQUARE IRVINGTON NJ 07111,973399-6673,9733996746,"LINDAL SCOTT-FOSTER, ACJMC",BRENDA A JONES (ACTING),MONDAY - THURSDAY,9:00AM - 4:00PM,
ESSEX,718,ROSELAND BORO MUNICIPAL COURT,19 HARRISON AVE ROSELAND NJ 07068,973-226-0641,9734037683,NANCY FALIVENA GENNARO,ALLA NUDEL,1ST & 3RD WEDNESDAY,9:00 AM - 4:00 PM,
PASSAIC,1604,HAWTHORNE BORO MUNICIPAL COURT,445 LAFAYETTE AVE HAWTHORNE NJ 07506,973-427-4767,9734274194,JOHN F MEOLA,"NORA KHOURY, MCA",THURSDAYS,9:00AM - 4:00PM,
PASSAIC,1602,CLIFTON MUNICIPAL COURT,900 CLIFTON AVENUE CLIFTON NJ 07013,973-470-5860,9734705924,JAMES P SIERADZKI,ALEXIS MITRESKI,MONDAY TO FRIDAY,8:15AM - 4:00PM,
BERGEN,231,LODI BORO MUNICIPAL COURT,ONE MEMORIAL DR LODI NJ 07644,973-859-7450,9734731213,MARTIN P GEISLER,PATRICIA BIEGEL,EVERY WEDNESDAY,8:30AM - 3:30PM,
HUDSON,904,HARRISON MUNICIPAL COURT,318 HARRISON AVE HARRISON NJ 07029,973-268-2453,9734829567,ELIZABETH T MCNAMARA,JOHN KOHANSKI,"MONDAY, WEDNESDAY",9:00AM - 4:00PM,
ESSEX,710,LIVINGSTON MUNICIPAL COURT,357 SLIVINGTON AVE LIVINGTON NJ 07039,973-535-7970,9735357997,WILLIAM H WILLIAMS JR,WALTER MOLLINEAUX,THURSDAYS,9:00AM - 4:00PM,
ESSEX,712,MILLBURN TWP MUNICIPAL COURT,435 ESSEX ST MILLBURN NJ 07041,973-564-7066,9735647764,JOSEPH C. ANGELO,WUYATTAH CARLON,TUESDAYS,9:00 AM - 4:00 PM,
PASSAIC,1614,WAYNE TWP MUNICIPAL COURT,475 VALLEY ROAD WAYNE NJ 07470,973-694-1800,9736940898,PETER F WEISS,LORI ELLICOTT,TUESDAYS AND THURSDAYS,8:30AM 4:30PM TUES 8:30-7PM,
ESSEX,714,NEWARK MUNICIPAL COURT,31 GREEN STREET NEWARK NJ 07102,973-733-6520,9737338533,DION J WILLIAMS,,MONDAY-THURSDAY,8:30 AM - 4:30 PM,
ESSEX,713,MONTCLAIR TWP MUNICIPAL COURT,647 BLOOMFIELD AVE MONTCLAIR NJ 07042,973-509-4774,9737446902,JOSEPH C. ANGELO,DONNA BENNION,TUESDAY & WEDNESDAY,M-F 8:30AM TO 3:30PM,
ESSEX,711,MAPLEWOOD TWP MUNICIPAL COURT,1618 SPRINGFIELD AVE MAPLEWOOD NJ 07040,732-536-0300,9737629367,CLYDE L OTIS III,RYAN BANCROFT,THURSDAYS,9:00 AM - 3:30 PM,
PASSAIC,1603,HALEDON BORO MUNICIPAL COURT,510 BELMONT AVE HALEDON NJ 07508,973-790-0500,9737904781,JOHN SEGRETO,KELLY MULLANAPHY,TUESDAYS,M-F 9:00AM - 4:00PM,
PASSAIC,1610,PROSPECT PARK MUNICIPAL COURT,106 BROWN AVE PROSPECT PARK NJ 07508,973-790-7902,9737906632,ABDELMAGERID ABDELHADI J.M.C,KAIRY ACEVEDO AMCA,TUESDAYS,8:00AM - 3:00PM,
PASSAIC,1609,POMPTON LAKES MUNICIPAL COURT,25 LENOX AVE POMPTON LAKES NJ 07442,973-616-5908,9738357401,JUDITH E ACCARDI,TERRI MALONE,3 TUESDAYS PER MONTH,MON - FRI 9:00AM - 4:00PM,
ESSEX,704,FAIRFIELD TWP MUNICIPAL COURT,230 FAIRFIELD RD FAIRFIELD NJ 07004,973-882-2700,9738822714,FRANK POMACO,MARIA CAPPA-FOSCHINI,THURSDAYS,8:30 AM - 4:30 PM,
UNION,2017,SPRINGFIELD TWP COURT,100 MOUNTAIN AVE SPRINGFIELD NJ 07081,973-912-2213,9739122287,JONATHAN H ROSENBLUTH,MARY JO BANCHANSKY,MONDAYS,8:00 AM - 4:00 PM,
UNION,2007,HILLSIDE TWP MUNICIPAL COURT,1409 LIBERTY A VENUE HILLSIDE NJ 07205,973-926-1881,9739262240,MARVIN T. BRAKER,MARVIN T. BRAKER,TUESDAYS (TWICE PER MONTH) AND THURSDAYS,8:30 AM - 3:30 PM,
PASSAIC,1612,TOTOWA BORO MUNICIPAL COURT,537 TOTOWA ROAD TOTOWA NJ 07512,973-956-1005,9739568414,MARIO A BATELLI,CHRISTINA FATTAL,3 MONDAYS PER MONTH,MON -FRI 9:00 AM - 4:00 PM,
PASSAIC,1611,RINGWOOD BORO MUNICIPAL COURT,60 MARGARET KING AVE RINGWOOD NJ 07456,973-962-6146,9739626018,MARIO BATELLI,CHRISTINA FATTAL,FIRST 3 WEDNESDAYS OF THE MONTH,MON-FRI 9:00AM - 4:00PM,
BERGEN,215,ENGLEWOOD CITY MUNICIPAL COURT,73 SO VAN BRUSNT ST ENGLEWOOD NJ 07631,201-569-0255,2015677083,AISHAAH A RASUL,DEBBIAN BARR,TUESDAY & WEDNESDAY,9:00AM - 4:00PM,
ESSEX,722,WEST ORANGE MUNICIPAL COURT,60 MAIN STREET WEST ORANGE NJ 07052,973-325-4080,9737310265,ENNIS DOWD,YVONNE S. BOWERS,TUESDAY & THURSDAY,9:00 AM - 4:00 PM,
BERGEN,236,PASCACK JOINT MUNICIPAL COURT,12 DIPIERO DRIVE MONTVALE NJ 07645,201-391-5701,2013916239,"HARRY D NORTON,JR",ANN LEVITZKI,2ND/3RD/4TH WEDNESDAY,8:30 AM - 4:30 PM,
BERGEN,261,TENAFLY BORO MUNICIPAL COURT,100 RIVEREDGE RD TENAFLY NJ 07670,201-408-3613,2015416412,BENJAMIN B. CHOI,DAWN CURATOLA,1ST & 3RD WEDNESDAY,MON - FRI 9:00AM - 4:00PM,
HUDSON,910,UNION CITY MUNICIPAL COURT,3715 PALISADE AVE UNION CITY NJ 07087,201-392-3663,9088515256,LILIA A MUNOZ,DORYS ROSADO,MONDAY-THURSDAY,MON - FRI 9:00AM- 3:30PM,
UNION,2019,UNION TWP MUNICIPAL COURT,981 CALDWELL AV UNION NJ 07083,908-851-5400,9088515256,JONATHAN ROSENBLUTH,PAT NASTA,MONDAY TO THURSDAY,8:00AM - 3:00PM,
ESSEX,708,BORO OF GLEN RIDGE MUN CT,825 BLOOMFIELD AVE. GLEN RIDGE NJ 07028,973-748-8116,9737488168,BORO OF GLEN RIDGE MUN CT,MARK A CLEMENTE,1ST & 3RD TUESDAY,9:00AM - 4:30PM,
HUNTERDON,1030,BORO OF MILFORD MUNICIPAL CT,599 OAK GROVE RD. FRENCHTOWN NJ 08825,908-996-0799,,FRANCESCO TADDEO,NANCY HORVATH,,TU 5:00P-7:30P,
UNION,2014,BOROUGH OF ROSELLE MUN COURT,210 CHESTNUT STREET ROSELLE NJ 07203,908-245-5588,9082410104,CARL L MARSHALL,NICOLE BAILEY,TUESDAYS AND THURSDAYS (TWICE PER MONTH),MON - FRI 9:00AM - 3:00PM,
CAMDEN,430,BOROUGH OF RUNNEMEDE MUN CT,24 N. BLACK HORSE PKE RUNNEMEDE NJ 07078,856-939-5252,8563792383,N. RYAN TRABOSH,CATHERINE LAWSON,2ND AND 3RD MONDAY,9:00AM -4:00PM,
SOMERSET,1804,BOUND BROOK MUNICIPAL COURT,230 HAMILTON ST BOUND BROOK NJ 08805,732-356-0833,7323560781,"MICHAEL FEDUN,JMC",VALERIE VAZQUEZ,TUESDAYS,MON-THU 8AM-4:30PM FRI 8AM-1PM,
MONMOUTH,1308,BRADLEY BEACH BORO COURT,701 MAIN ST. BRADLEY BEACH NJ 07720,732-776-2999,7328975813,PAUL CAPOTORTO,PATRICIA MEGILL,VIRTUAL NOV-MAY:1ST WED; JUNE-OCT:1ST& 3RD WED,8:30 AM - 4:00 PM,
SOMERSET,1805,BRANCHBURG TWP MUNICIPAL COURT,379 SOUTH BRANCH ED HILLSBOROUGH,908-369-3532,9083694401,FRANCESCO TADDEO,SUSAN KEETH,1ST AND 3RD WEDNESDAYS,8:00 AM - 4:00 PM,
OCEAN,1506,BRICK TOWNSHIP MUNICIPAL COURT,401 CHAMBERS BRIDGE BRICK NJ 08723,732-262-1226,7324514060,JOSEPH D GRISANTI,MICHELE FRASIER,"MONDAYS,WEDNESDAYS,THURSDAYS",9:00 AM - 3:00 PM M-F,
CUMBERLAND,601,BRIDGETON JOINT MUNICIPAL CT,330 FAYETTE ST BRIDETON,856-451-7565,8564517638,JASON D. WITCHER,MARIE L KEITH,TUESDAY AND THURSDAY,9:00 AM - 4:00 PM M-F,
SOMERSET,1806,BRIDGEWATER TWP COURT,100 COMMONS WAY BRIDGEWATER,908-725-6375,9087049208,KATHERINE E. HOWES,JENNI R PETERSON,WEDNESDAYS,8:30 AM - 4:00 PM,
MONMOUTH,1309,BRIELLE BORO MUNICIPAL COURT,201 E. MAIN ST. MANASQUAN NJ 08736,732-223-0600,7322236298,PAUL J CAPOTORTO,MARIE HIGGINS,TWO TUESDAYS PER MONTH,9:00 AM - 4:00 PM,
ATLANTIC,103,BRIGANTINE MUNICIPAL COURT,1417 BRIGANTINE AVE BRIGANTINE NJ 08203,609-266-0440,6092666376,TIMOTHY P MAGUIRE,DAWN GOTTARDI,1ST & 3RD THURSDAY,8:00 AM - 4:00 PM M-F,
CAMDEN,407,BROOKLAWN MUNICIPAL COURT,500 WHITE HORSE PIKE OAKLYN NJ 08107,856-858-0074,8568589552,KRISDEN MCCRINK,DAWN ABATE-HIRST,1ST & 3RD WEDNESDAY,M-THUR 8AM-4PM FRI 8-12PM,
ATLANTIC,104,BUENA BORO MUNICIPAL COURT,1571 DELSEA DRIVE FRANKLINVILLE NJ 08322,856-694-1661,8566942192,JOHN J ARMANO JR,TRACEY A BLEDA,,"M,T,W,F 8A-3P,THUR 8AM",
ATLANTIC,105,BUENA VISTA TWP MUNICIPAL CT,100 CENTRAL AVE HAMMONTON NJ 08330,609-567-4300,6095675090,FRANK J RASO,CRYSTAL CZERWINSKI,TUESDAYS,9:00 AM - 4:30 PM,
BURLINGTON,305,BURLINGTON CITY COURT,851 OLD YORK RD BURLINGTON NJ 08016,609-239-5825,6093866837,PETER C LANGE JR,ROSA P HENRY,"TUESDAYS, 1ST & 3RD THURSDAY",9:00AM - 5:00PM M-F,
BURLINGTON,306,BURLINGTON TOWNSHIP M C,851 OLD YORK RD BURLINGTON NJ 08016,609-239-5825,6093866837,PETER C LANGE JR,REBECCA CONCEPCION,"TUESDAYS, 1ST & 3RD THURSDAY",9:00AM - 5:00PM,
MORRIS,1403,BUTLER BORO MUNICIPAL COURT,91 NEW ARK-POMPTON TP RIVERDALE NJ 07457,973-835-1013,9738383762,JOHN A PAPARAZZO,ELIANNA KIESLING,TUESDAYS,MON - FRI 8:30AM - 4:30PM,
SUSSEX,1904,BYRAM TWP MUNICIPAL COURT,134 NEWTON-SPARTA RD NEWTON NJ 07860,973-383-4280,9733836328,JAMES G DEVINE,HELGA WALLS,,MON - FRI 8:30AM - 3:30PM,
ESSEX,703,CALDWELL BORO MUNICIPAL COURT,ONE PROVOST SQUARE CALDWELL NJ 07006,973-403-4630,9734031355,JONATHAN ROSENBLUTH,LEANNE O'HERN,2ND WEDNESDAY,9:00AM - 4:00PM,
HUNTERDON,1004,CALIFON BOROUGH MUNICIPAL CT,43 SCHOOLEYS MTN RD LONG VALLEY NJ 07853,908-876-3852,,FRANK P LEANZA,JAN SIMONETTI,2 THURSDAYS A MONTH,MON - FRI 8:00AM -4:00PM,
CAMDEN,408,CAMDEN CITY MUNICIPAL COURT,520 MARKET ST CAMDEN NJ 08101,856-757-7100,8567577000,RODERICK T. BALTIMORE,KIMBERLY KRAUSE,MONDAY-FRIDAY,8:30 AM - 3:00 PM,
CAPE MAY,502,CAPE MAY CITY MUNICIPAL COURT,643 WASHINGRON ST CAPE MAY NJ 08204,609-884-9550,6098840869,LOUIS J BELASCO JR,AMANDA I. MELENDEZ,WEDNESDAYS,8:00 A.M. TO 4:00 P.M.,
CAPE MAY,503,CAPE MAY POINT MUNICIPAL CT,643 WASHINGRON ST CAPE MAY NJ 08204,609-884-9550,6098840869,LOUIS J BELASCO JR,AMANDA I. MELENDEZ,WEDNESDAY,8:00AM TO 4:00PM M-F,
BERGEN,205,CARLSTADT BORO MUNICIPAL COURT,500 MADISON ST CARLSTADT NJ 07072,201-438-4306,2019394648,GEORGE SAVINO,ILONA DOVIAK,1ST AND 3RD THURSDAYS,9:00 AM - 4:00 PM,
SALEM COUNTY,1713,CARNEYS POINT-PENNSVILLE JOINT,303 HARDING HIGHWAY CARNEYS POINT NJ 08069,856-299-1013,8566789428,JASON D WITCHER,ANNMARIE BROWN,2 TO 3 FRIDAYS PER MONTH,MON-FRI 8:30AM-4:00PM,
MIDDLESEX,1201,CARTERET MUNICIPAL COURT,230 ROOSEVELT AVENUE CARTERET,732-541-3900,7325410581,ALLEN P COMBA,"MADELINE ZURICK ,P.T",,8:00 A.M. TO 4:00 P.M.,
ESSEX,705,CEDAR GROVE MUNICIPAL COURT,525 POMPTON AVE CEDAR GROVE NJ 07009,973-239-1410,9732391777,NICHOLAS S BRINDISI,THERESA PLATVOET,EVERY WEDNESDAY,MON-FRI 8:30AM - 4:30PM,
BERGEN,290,CENTRAL MUN CT BERGEN COUNTY,71 HUDSON STREET HACKENSACK NJ 07601,201-336-6222,2013366212,LOUIS J. DINICE,MIRIAM LOSARDO,MONDAY/TUESDAY/WEDNESDAY,9:00AM - 4:00PM,
WARREN,2189,CENTRAL WARREN JOINT COURT,100 PORT MURRAY RD PORT MURRAY NJ 07865,908-689-7066,9086892840,JOSEPH W STEINHARDT,IRENE BROWNELL,,MON - FRI 9:00AM - 4:00PM,
MORRIS,1404,CHATHAM BORO MUNICIPAL COURT,50 KINGS ROAD MADISON NJ 07940,973-593-3026,9735933029,JONATHAN ROSENBLUTH,DAWN ALLGEIER,1ST AND 3RD WEDNESDAY,8:00 AM - 4:00 PM,
MORRIS,1405,CHATHAM TWP MUNICIPAL COURT,50 KINGS ROAD MADISON NJ 07940,973-593-3026,9735933029,JONATHAN ROSENBLUTH,DAWN ALLGEIER,2ND MONDAYS,8:00 AM - 4:00 PM,
CAMDEN,412,CHERRY HILL TWP MUNICIPAL CT,820 MERCER STREET CHERRY HILL NJ 08002,856-488-7850,8564887854,JEFFREY S. KARL,ADELENE KHAN,THURSDAYS,9:00 A.M. TO 5:00 P.M,
CAMDEN,409,CHESILHURST MUNICIPAL COURT,201 GRANT AVE CHESILHURST NJ 08089,856-767-1548,8567538093,MICHAEL A DIAMOND,MARICA BOOKMAN,2ND & 3RD TUESDAY,MON - THRU 9:00AM - 2:00PM,
MORRIS,1406,CHESTER BORO MUNICIPAL COURT,1 PARKER ROAD CHESTER NJ 07930,908-879-5100,9088798281,GLENN T. GAVAN,INGRID OCONNOR,1ST AND 3RD THURSDAYS,9:00AM - 4:00PM,
MORRIS,1407,CHESTER TWP MUNICIPAL COURT,1 PARKER ROAD CHESTER NJ 07930,908-879-5100,9088798281,GLENN T. GAVAN,INGRID OCONNOR,1ST AND 3RD THURSDAYS,9:00AM - 4:00PM,
BURLINGTON,307,CHESTERFIELD MUNICIPAL COURT,1 MUNICIPAL DR. BORDENTOWN NJ 08505,609-298-2802,6092919324,JOSEPH P MONTALTO,"SARAH HOFFMAN, CMCA",WEDNESDAY,"M-TH 9AM-4PM,F-9AM-12PM",
BURLINGTON,308,CINNAMINSON MUNICIPAL COURT,1621 RIVERTON RD CINNAMINSON NJ 08077,856-829-4027,8568292893,COREY E AHART,DANA ALDRICH,"MONDAYS, 2ND THURSDAY",8:30AM - 4:00PM M-F,
ATLANTIC,109,CITY OF ESTELL MANOR REGIONAL,5905 MAIN STREET MAYS LANDING NJ 08330,609-909-5999,6099095992,TIMOTHY MAGUIRE,ANTOINETTE TUMMON,MONDAY-FRIDAY,"WED 6PM-8PM, FRI 9AM-1PM",
GLOUCESTER,801,CLAYTON BORO MUNICIPAL COURT,680 WHIG LANE MONROEVILLE NJ 08343,856-881-6631,8568810153,JOHN J ARMANO JR,PAULINE JORDAN,,M-THUR 9A-4P FRI 9A-1:30P,
CAMDEN,410,CLEMENTON MUNICIPAL COURT,101 GIBBSBORO ROAD CLEMENTON NJ 08021,856-783-6464,8567843825,GEORGE J SINGLEY,DONNA CARNS,"1ST & 3RD TUESDAY, 1ST & 3RD WEDNESDAY",8:30AM - 4:00PM M-T,
BERGEN,206,CLIFFSIDE PARK MUNICIPAL COURT,525 PLAISADE AVE CLIFFSIDE PARK NJ 07010,201-945-3456,2019458972,ARTHUR E BALSAMO JMC,LINDA D'ANGELO,EVERY THURSDAY,8:30AM - 3:30PM,
HUNTERDON,1027,CLINTON TWP MUNICIPAL CT,1370 ROUTE 31 NORTH ANNANDALE NJ 08801,908-735-3730,9087353731,ERIC M PERKINS,"KIMBERLY MARINO, CMCA",EVERY WEDNESDAY,MON - FRI 8:30 - 4:00,
BERGEN COUNTY,207,CLOSTER BORO MUNICIPAL COURT,295  CLOSTER DOCK RD CLOSTER NJ 07624,201-784-0600,2019057777,FRANCIS J LEDDY JR,ANTOINETTE CECCON,1ST & 3RD TUESDAY,9:00 AM - 4:00 PM,
CAMDEN,411,COLLINGSWOOD MUNICIPAL COURT,30 W. COLLINGS AVE COLLINGSWOOD NJ 081108,856-854-7535,8568540632,CAROL FABIETTI,ELENA BENEDETTI,WEDNESDAYS,9:00AM - 4:00PM M-F,
MONMOUTH,1304,COLTS NECK TWP MUNICIPAL COURT,124 CEDAR DRIVE COLTS NECK NJ 0772,732-431-1799,7324096438,NICOLE SONNENBLICK,KATHRYNE BRADACH,THREE FRIDAYS PER MONTH,"CTHLD: 4 CRAWFORDS CNR,HOLMDEL",
CUMBERLAND,602,COMMERCIAL MUN COURT,1325 HWY 77 SEABROOK NJ 08302,856-455-8722,8564516489,LAUREN VAN EMBDEN,PATRICIA TURKALI,TUESDAY BEGINNING AT 09:00 AM,MON-FRI 8AM-12PM & 1PM - 4PM,
ATLANTIC,106,CORBIN CITY MUNICIPAL COURT,5905 MAIN STREET MAYS LANDING NJ 08330,609-909-5999,6099095992,TIMOTHY P MAGUIRE,ANTOINETTE TUMMON,WEDNESDAY,8:30AM TO 4:00PM M-F,
MIDDLESEX,1202,CRANBURY TWP MUNICIPAL COURT,641 PLAINSBORO ROAD PLAINSBORO NJ 08536,609-799-0863,6099361441,EDWARD H. HERMAN,DANIELLE TANZI,,8:45AM - 4:15PM,
BERGEN,208,CRESSKILL BORO MUNICIPAL COURT,67 UNION A VENUE CRESSKILL NJ 07626,201-569-7636,2015693714,STEVEN V. SCHUSTER,CRAIG FERDINAND,1ST & 3RD THURSDAY,8:30AM - 4:30PM,
CUMBERLAND,613,CS REGIONAL COURT,1325 HIGHWAY 77 SEABROOK,856-455-8722,8564516489,LAUREN VAN EMBDEN,PATRICIA TURKALI,TUESDAY BEGINNING AT 09:00 AM,MON - FRI 9:00AM - 4:00PM,
MONMOUTH,1310,DEAL BORO MUNICIPAL COURT,190 NORWOOD AVE DEAL NJ 07723,732-531-1343,7325311705,SCOTT J BASEN,KRYSTLE REINER,2ND ^ 4TH WEDNESDAYS,8:30 AM - 4:30 PM,
CUMBERLAND,603,DEERFIELD TWP MUNICIPAL COURT,1325 HWKY 77 SEABROOK NJ 08302,856-455-8722,8564516489,LAUREN VAN EMBDEN,PATRICIA TURKALI,TUESDAY BEGINNING AT 09:00 AM,MON-FRI 9:00A - 4:00P,
BURLINGTON,309,DELANCO TWP MUNICIPAL COURT,770 COOPERTOWN ROAD DELANCO NJ 08075,856-461-0181,8567640984,COREY AHART,JENNIFER ESPOSITO,3RD WEDNESDAY,MON - THURS 9:00AM - 1:00PM,
